user_id,home_city,home_state,preferred_categories,budget_usd,group_type,has_kids,indoor_outdoor_preference,wheelchair_need,synthetic
syn_u0001,Houston,TX,theatre|zoo,75,family,true,indoor,false,true
syn_u0002,New York,NY,gallery|aquarium,25,solo,false,mixed,false,true
syn_u0003,Dallas,TX,hiking/nature|attraction|museum|park,0,friends,false,mixed,false,true
syn_u0004,New York,NY,theatre|sports/fitness,0,family,true,outdoor,false,true
syn_u0005,Dallas,TX,aquarium|park,0,friends,false,indoor,false,true
syn_u0006,Chicago,IL,theatre|museum|gallery|attraction,120,solo,false,mixed,false,true
syn_u0007,Phoenix,AZ,theatre|museum|zoo,120,solo,false,indoor,false,true
syn_u0008,San Francisco,CA,hiking/nature|sports/fitness,75,solo,false,outdoor,false,true
syn_u0009,Seattle,WA,sports/fitness|museum|attraction|hiking/nature,120,family,true,indoor,false,true
syn_u0010,Dallas,TX,amusement|library|gallery,40,solo,false,indoor,false,true
syn_u0011,Chicago,IL,hiking/nature|gallery|museum|library,40,friends,false,indoor,false,true
syn_u0012,Chicago,IL,sports/fitness|aquarium|amusement|museum,15,solo,false,indoor,false,true
syn_u0013,Boston,MA,sports/fitness|theatre|cinema|park,0,couple,false,indoor,false,true
syn_u0014,Phoenix,AZ,sports/fitness|zoo|museum|cinema,75,solo,false,mixed,false,true
syn_u0015,Seattle,WA,gallery|sports/fitness|park,40,friends,false,indoor,false,true
syn_u0016,Phoenix,AZ,museum|zoo|hiking/nature,0,friends,false,outdoor,false,true
syn_u0017,Philadelphia,PA,museum|amusement,0,couple,false,mixed,false,true
syn_u0018,Philadelphia,PA,library|aquarium|amusement|attraction,75,solo,false,outdoor,false,true
syn_u0019,San Diego,CA,library|amusement|museum|attraction,0,family,true,indoor,true,true
syn_u0020,Houston,TX,amusement|cinema,15,solo,false,mixed,false,true
syn_u0021,Boston,MA,cinema|library|theatre,25,couple,false,outdoor,false,true
syn_u0022,Philadelphia,PA,hiking/nature|museum|library|aquarium,75,couple,false,mixed,false,true
syn_u0023,Houston,TX,hiking/nature|museum|sports/fitness|park,0,family,true,indoor,false,true
syn_u0024,Dallas,TX,museum|hiking/nature|gallery,25,couple,false,mixed,false,true
syn_u0025,Houston,TX,park|zoo|theatre|cinema,40,family,true,indoor,false,true
syn_u0026,San Diego,CA,attraction|gallery|park,15,family,true,outdoor,false,true
syn_u0027,San Francisco,CA,amusement|sports/fitness,15,friends,false,mixed,false,true
syn_u0028,Chicago,IL,attraction|aquarium,120,couple,false,outdoor,false,true
syn_u0029,Chicago,IL,hiking/nature|sports/fitness,0,couple,false,indoor,false,true
syn_u0030,San Francisco,CA,gallery|hiking/nature|amusement|museum,120,friends,false,mixed,false,true
syn_u0031,San Diego,CA,amusement|gallery,15,family,true,indoor,false,true
syn_u0032,Phoenix,AZ,attraction|zoo|amusement,25,friends,false,outdoor,false,true
syn_u0033,San Antonio,TX,hiking/nature|zoo,75,couple,false,outdoor,false,true
syn_u0034,San Antonio,TX,theatre|zoo,120,couple,false,outdoor,false,true
syn_u0035,Philadelphia,PA,amusement|theatre,40,friends,false,mixed,false,true
syn_u0036,Chicago,IL,park|sports/fitness|gallery|attraction,0,solo,false,mixed,false,true
syn_u0037,Los Angeles,CA,sports/fitness|cinema,25,family,true,indoor,false,true
syn_u0038,Houston,TX,library|hiking/nature,120,couple,false,mixed,false,true
syn_u0039,San Diego,CA,zoo|cinema|aquarium|hiking/nature,40,couple,false,indoor,false,true
syn_u0040,Dallas,TX,hiking/nature|gallery|aquarium|sports/fitness,15,solo,false,indoor,false,true
